1;0.71
1;0.70
2;0.69
2;0.67
3;0.66
3;0.63
4;0.61
4;0.56
5;0.55
5;0.50
6;0.48
6;0.53
7;0.47
7;0.50
8;0.45
8;0.46
9;0.46
9;0.45
10;0.48
10;0.45
11;0.50
11;0.48
12;0.49
12;0.46
13;0.45
13;0.46
14;0.49
14;0.49
15;0.46
15;0.47
16;0.45
16;0.50
17;0.44
17;0.44
18;0.43
18;0.43
19;0.43
19;0.41
20;0.38
20;0.38
21;0.35
21;0.44
22;0.39
22;0.36
23;0.39
23;0.41
24;0.38
24;0.35
25;0.38
25;0.38
26;0.34
26;0.34
27;0.38
27;0.35
28;0.36
28;0.39
29;0.36
29;0.37
30;0.34
30;0.34
31;0.34
31;0.32
32;0.37
32;0.32
33;0.36
33;0.32
34;0.36
34;0.29
35;0.31
35;0.33
36;0.37
36;0.32
37;0.31
37;0.33
38;0.35
38;0.31
39;0.35
39;0.30
40;0.29
40;0.33
41;0.27
41;0.27
42;0.29
42;0.32
43;0.30
43;0.33
44;0.30
44;0.32
45;0.28
45;0.28
46;0.33
46;0.28
47;0.31
47;0.32
48;0.32
48;0.27
49;0.32
49;0.29
50;0.29
50;0.26
51;0.28
51;0.26
52;0.30
52;0.30
53;0.31
53;0.24
54;0.24
54;0.26
55;0.29
55;0.31
56;0.28
56;0.28
57;0.28
57;0.27
58;0.28
58;0.30
59;0.25
59;0.24
60;0.29
60;0.32
61;0.24
61;0.26
62;0.24
62;0.25
63;0.26
63;0.29
64;0.23
64;0.29
65;0.25
65;0.22
66;0.25
66;0.26
67;0.28
67;0.25
68;0.25
68;0.32
69;0.23
69;0.26
70;0.27
70;0.25
71;0.25
71;0.26
72;0.28
72;0.25
73;0.24
73;0.25
74;0.23
74;0.24
75;0.21
75;0.27
76;0.22
76;0.25
77;0.27
77;0.23
78;0.26
78;0.23
79;0.27
79;0.28
80;0.25
80;0.23
81;0.23
81;0.26
82;0.26
82;0.22
83;0.20
83;0.24
84;0.24
84;0.25
85;0.25
85;0.26
86;0.30
86;0.29
87;0.24
87;0.24
88;0.23
88;0.25
89;0.18
89;0.27
90;0.28
90;0.25
91;0.25
91;0.20
92;0.25
92;0.24
93;0.25
93;0.21
94;0.25
94;0.25
95;0.24
95;0.26
96;0.26
96;0.24
97;0.23
97;0.30
98;0.25
98;0.25
99;0.26
99;0.27
100;0.23
100;0.25
101;0.23
101;0.23
102;0.20
102;0.26
103;0.32
103;0.24
104;0.20
104;0.22
105;0.27
105;0.21
106;0.20
106;0.25
107;0.24
107;0.25
108;0.27
108;0.23
109;0.22
109;0.25
110;0.26
110;0.23
111;0.20
111;0.28
112;0.22
112;0.22
113;0.23
113;0.23
114;0.26
114;0.21
115;0.23
115;0.24
116;0.19
116;0.20
117;0.21
117;0.23
118;0.19
118;0.26
119;0.22
119;0.22
120;0.17
120;0.24
121;0.20
121;0.21
122;0.28
122;0.26
123;0.25
123;0.22
124;0.23
124;0.19
125;0.19
125;0.21
126;0.20
126;0.22
127;0.21
127;0.21
128;0.21
128;0.21
129;0.23
129;0.24
130;0.20
130;0.29
131;0.21
131;0.23
132;0.22
132;0.24
133;0.21
133;0.22
134;0.21
134;0.22
135;0.21
135;0.18
136;0.20
136;0.22
137;0.24
137;0.22
138;0.23
138;0.19
139;0.21
139;0.24
140;0.22
140;0.19
141;0.23
141;0.20
142;0.17
142;0.23
143;0.21
143;0.23
144;0.21
144;0.21
145;0.17
145;0.22
146;0.21
146;0.21
147;0.25
147;0.20
148;0.21
148;0.25
149;0.23
149;0.19
150;0.20
150;0.17
151;0.24
151;0.22
152;0.28
152;0.20
153;0.23
153;0.20
154;0.18
154;0.24
155;0.22
155;0.22
156;0.24
156;0.22
157;0.21
157;0.24
158;0.24
158;0.15
159;0.22
159;0.21
160;0.25
160;0.24
161;0.24
161;0.20
162;0.18
162;0.23
163;0.19
163;0.25
164;0.21
164;0.20
165;0.23
165;0.23
166;0.19
166;0.24
167;0.16
167;0.19
168;0.21
168;0.20
169;0.23
169;0.19
170;0.18
170;0.20
171;0.22
171;0.19
172;0.26
172;0.20
173;0.16
173;0.22
174;0.16
174;0.20
175;0.21
175;0.16
176;0.18
176;0.27
177;0.20
177;0.24
178;0.18
178;0.23
179;0.19
179;0.20
180;0.14
180;0.16
181;0.22
181;0.21
182;0.17
182;0.23
183;0.22
183;0.19
184;0.17
184;0.22
185;0.23
185;0.20
186;0.18
186;0.16
187;0.21
187;0.19
188;0.16
188;0.22
189;0.20
189;0.20
190;0.23
190;0.19
191;0.22
191;0.16
192;0.18
192;0.16
193;0.20
193;0.21
194;0.19
194;0.20
195;0.22
195;0.17
196;0.24
196;0.16
197;0.18
197;0.17
198;0.23
198;0.15
199;0.23
199;0.21
200;0.20
200;0.19
201;0.22
201;0.17
202;0.20
202;0.17
203;0.21
203;0.18
204;0.21
204;0.21
205;0.16
205;0.17
206;0.21
206;0.16
207;0.22
207;0.22
208;0.19
208;0.24
209;0.18
209;0.16
210;0.22
210;0.19
211;0.21
211;0.20
212;0.22
212;0.17
213;0.16
213;0.17
214;0.14
214;0.14
215;0.20
215;0.18
216;0.18
216;0.22
217;0.18
217;0.17
218;0.19
218;0.18
219;0.15
219;0.24
220;0.18
220;0.17
221;0.19
221;0.16
222;0.18
222;0.19
223;0.19
223;0.20
224;0.17
224;0.17
225;0.18
225;0.17
226;0.21
226;0.19
227;0.17
227;0.16
228;0.16
228;0.17
229;0.16
229;0.16
230;0.17
230;0.19
231;0.16
231;0.16
232;0.19
232;0.18
233;0.18
233;0.19
234;0.16
234;0.18
235;0.17
235;0.19
236;0.16
236;0.16
237;0.15
237;0.14
238;0.15
238;0.17
239;0.14
239;0.19
240;0.17
240;0.20
241;0.16
241;0.16
242;0.16
242;0.15
243;0.18
243;0.16
244;0.19
244;0.16
245;0.14
245;0.18
246;0.15
246;0.15
247;0.17
247;0.15
248;0.15
248;0.20
249;0.15
249;0.19
250;0.15
250;0.14
251;0.14
251;0.18
252;0.16
252;0.17
253;0.14
253;0.17
254;0.17
254;0.17
255;0.18
255;0.13
256;0.17
256;0.19
